Species;adult_mass_g;Total
Abrawayaomys ruschii;62.99;0
Akodon azarae;24;2
Akodon cursor;39.77;1
Akodon lindberghi;26.4;1
Akodon montensis;39.7;2
Akodon mystax;28.3;1
Akodon paranaensis;28.3;1
Akodon reigi;28.3;1
Akodon sanctipaulensis;27.7;1
Akodon serrensis;28.3;1
Alouatta belzebul;6157.91;3
Alouatta caraya;5462.5;3
Alouatta discolor;6262.8;3
Alouatta guariba;5188.33;3
Alouatta juara;6398.31;3
Alouatta macconnelli;6398.31;3
Alouatta nigerrima;6157.91;3
Alouatta puruensis;6398.31;3
Alouatta seniculus;6398.31;3
Alouatta ululata;6682.1;3
Ametrida centurio;11.305;1
Anoura caudifer;11.155;2
Anoura geoffroyi;15.2;2
Aotus azarae;1230;2
Aotus nancymaae;791.03;2
Aotus nigriceps;1057;2
Aotus trivirgatus;872.98;2
Aotus vociferans;872.995;2
Artibeus concolor;19.675;2
Artibeus fimbriatus;63.895;2
Artibeus lituratus;46.1;2
Artibeus obscurus;45.65;1
Artibeus planirostris;47;2
Ateles belzebuth;6692.42;2
Ateles chamek;7294.46;2
Ateles marginatus;6229.28;2
Ateles paniscus;7887.5;2
Atelocynus microtis;9500;1
Bassaricyon alleni;1236.88;2
Bibimys labiosus;29;0
Blarinomys breviceps;36.79;1
Blastocerus dichotomus;102500;4
Brachyteles arachnoides;10.839;4
Brachyteles hypoxanthus;10.839;3
Bradypus torquatus;4184.21;1
Bradypus tridactylus;4072.9;2
Bradypus variegatus;3963.18;1
Brucepattersonius griserufescens;21.85;1
Brucepattersonius igniventris;32;1
Brucepattersonius iheringi;43;1
Brucepattersonius soricinus;28.7;1
Cabassous tatouay;5349.95;6
Cabassous unicinctus;3987.97;6
Cacajao ayresi;2935;2
Cacajao calvus;3421.04;3
Cacajao hosomi;3100;2
Cacajao melanocephalus;3121.58;2
Callibella humilis;167.5;1
Callicebus barbarabrownae;1390.8;2
Callicebus coimbrai;1390.8;2
Callicebus melanochir;1390.8;2
Callicebus nigrifrons;1390.8;2
Callicebus personatus;1390.8;2
Callimico goeldii;556.5;2
Callistomys pictus;518.99;1
Callithrix aurita;272.705;2
Callithrix flaviceps;290.21;3
Callithrix geoffroyi;299.605;2
Callithrix jacchus;255.2;3
Callithrix kuhlii;307;3
Callithrix penicillata;307;2
Calomys callosus;48.6;0
Calomys expulsus;48;0
Calomys hummelincki;27;0
Calomys laucha;24;1
Calomys tener;14;0
Calomys tocantinsi;25.3;0
Caluromys lanatus;410;2
Caluromys philander;298.235;2
Caluromysiops irrupta;257.48;1
Carollia benkeithi;13.1;1
