species;body__mass
Abrawayaomys ruschii;62.99
Akodon azarae;24
Akodon cursor;39.77
Akodon lindberghi;26.4
Akodon montensis;39.7
Akodon mystax;28.3
Akodon paranaensis;28.3
Akodon reigi;28.3
Akodon sanctipaulensis;27.7
Akodon serrensis;28.3
Alouatta belzebul;6157.91
Alouatta caraya;5462.5
Alouatta discolor;6262.8
Alouatta guariba;5188.33
Alouatta juara;6398.31
Alouatta macconnelli;6398.31
Alouatta nigerrima;6157.91
Alouatta puruensis;6398.31
Alouatta seniculus;6398.31
Alouatta ululata;6682.1
Ametrida centurio;11.305
Anoura caudifer;11.155
Anoura geoffroyi;15.2
Aotus azarae;1230
Aotus nancymaae;791.03
Aotus nigriceps;1057
Aotus trivirgatus;872.98
Aotus vociferans;872.995
Artibeus concolor;19.675
Artibeus fimbriatus;63.895
Artibeus lituratus;46.1
Artibeus obscurus;45.65
Artibeus planirostris;47
Ateles belzebuth;6692.42
Ateles chamek;7294.46
Ateles marginatus;6229.28
Ateles paniscus;7887.5
Atelocynus microtis;9500
Bassaricyon alleni;1236.88
Bibimys labiosus;29
Blarinomys breviceps;36.79
Blastocerus dichotomus;102500
Brachyteles arachnoides;10.839
Brachyteles hypoxanthus;10.839
Bradypus torquatus;4184.21
Bradypus tridactylus;4072.9
Bradypus variegatus;3963.18
Brucepattersonius griserufescens;21.85
Brucepattersonius igniventris;32
Brucepattersonius iheringi;43
Brucepattersonius soricinus;28.7
Cabassous tatouay;5349.95
Cabassous unicinctus;3987.97
Cacajao ayresi;2935
Cacajao calvus;3421.04
Cacajao hosomi;3100
Cacajao melanocephalus;3121.58
Callibella humilis;167.5
Callicebus barbarabrownae;1390.8
Callicebus coimbrai;1390.8
Callicebus melanochir;1390.8
Callicebus nigrifrons;1390.8
Callicebus personatus;1390.8
Callimico goeldii;556.5
Callistomys pictus;518.99
Callithrix aurita;272.705
Callithrix flaviceps;290.21
Callithrix geoffroyi;299.605
Callithrix jacchus;255.2
Callithrix kuhlii;307
Callithrix penicillata;307
Calomys callosus;48.6
Calomys expulsus;48
Calomys hummelincki;27
Calomys laucha;24
Calomys tener;14
Calomys tocantinsi;25.3
Caluromys lanatus;410
Caluromys philander;298.235
Caluromysiops irrupta;257.48
Carollia benkeithi;13.1
Carollia brevicauda;14.85
Carollia perspicillata;16.4
Carterodon sulcidens;113.8
Cavia aperea;341
Cavia fulgida;282.5
Cavia intermedia;578.88
Cavia magna;459.99
Cebuella niveiventris;116.83
Cebuella pygmaea;116.83
Cebus albifrons;2488.59
Cebus castaneus;2552.5
Cebus cuscinus;2900
Cebus kaapori;2670.07
Cebus olivaceus;2552.5
Cebus unicolor;2488.59
Centronycteris maximiliani;23
Cerdocyon thous;5741.66
Cerradomys maracajuensis;49.91
Cerradomys marinhus;49.91
Cerradomys scotti;49.91
Cerradomys subflavus;49.91
Chaetomys subspinosus;1299.99
Cheracebus lucifer;1.129
Cheracebus lugens;1.129
Cheracebus regulus;1.129
Cheracebus torquatus;1.129
Chiroderma doriae;19.9
Chiroderma trinitatum;13.91
Chiroderma villosum;23.81
Chiroderma vizottoi;36
Chironectes minimus;856
Chiropotes albinasus;2900
Chiropotes chiropotes;2942.5
Chiropotes sagulatus;2942.5
Chiropotes satanas;2942.5
Chiropotes utahickae;2942.5
Choeroniscus minor;8.63
Choloepus didactylus;6250
Choloepus hoffmanni;4250
Chrotopterus auritus;84.38
Chrysocyon brachyurus;22250
Clyomys laticeps;115.5
Coendou baturitensis;3900
Coendou bicolor;4492.49
Coendou insidiosus;998.32
Coendou melanurus;1449.16
Coendou nycthemera;2999.98
Coendou prehensilis;3900
Coendou roosmalenorum;700
Coendou speratus;1650
Coendou spinosus;1250.39
Conepatus chinga;3400
Conepatus semistriatus;1598.67
Cormura brevirostris;9.26
Cryptonanus agricolai;10
Cryptonanus chacoensis;15.5
Cryptonanus guahybae;22.8
Ctenomys boliviensis;462.6
Ctenomys flamarioni;277.8
Ctenomys ibicuiensis;200
Ctenomys lami;238.5
Ctenomys minutus;92
Ctenomys torquatus;242.245
Cuniculus paca;9000
Cyclopes didactylus;251.975
Cynomops abrasus;35.39
Cynomops greenhalli;15.87
