species,cultural_service_charismatic_species,ecotourism,carrion_control,pollination,top_down_regulation,seed_dispersal,pest_and_disease_control,nutrient_transporting_horizontal_and_vertical,ecosystem_engineering,rodent_control,disease_sentinelling
Abrawayaomys ruschii,0,0,0,0,0,0,0,0,0,0,0
Akodon azarae,0,0,0,0,0,0,1,0,0,0,1
Akodon cursor,0,0,0,0,0,0,1,0,0,0,0
Akodon lindberghi,0,0,0,0,0,0,1,0,0,0,0
Akodon montensis,0,0,0,1,0,0,1,0,0,0,0
Akodon mystax,0,0,0,0,0,0,1,0,0,0,0
Akodon paranaensis,0,0,0,0,0,0,1,0,0,0,0
Akodon reigi,0,0,0,0,0,0,1,0,0,0,0
Akodon sanctipaulensis,0,0,0,0,0,0,1,0,0,0,0
Akodon serrensis,0,0,0,0,0,0,1,0,0,0,0
Alouatta belzebul,1,0,0,0,0,1,0,0,0,0,1
Alouatta caraya,1,0,0,0,0,1,0,0,0,0,1
Alouatta discolor,1,0,0,0,0,1,0,0,0,0,1
Alouatta guariba,1,0,0,0,0,1,0,0,0,0,1
Alouatta juara,1,0,0,0,0,1,0,0,0,0,1
Alouatta macconnelli,1,0,0,0,0,1,0,0,0,0,1
Alouatta nigerrima,1,0,0,0,0,1,0,0,0,0,1
Alouatta puruensis,1,0,0,0,0,1,0,0,0,0,1
Alouatta seniculus,1,0,0,0,0,1,0,0,0,0,1
Alouatta ululata,1,0,0,0,0,1,0,0,0,0,1
Ametrida centurio,0,0,0,0,0,1,0,0,0,0,0
Anoura caudifer,0,0,0,1,0,1,0,0,0,0,0
Anoura geoffroyi,0,0,0,1,0,1,0,0,0,0,0
Aotus azarae,1,0,0,0,0,1,0,0,0,0,0
Aotus nancymaae,1,0,0,0,0,1,0,0,0,0,0
Aotus nigriceps,1,0,0,0,0,1,0,0,0,0,0
Aotus trivirgatus,1,0,0,0,0,1,0,0,0,0,0
Aotus vociferans,1,0,0,0,0,1,0,0,0,0,0
Artibeus concolor,0,0,0,1,0,1,0,0,0,0,0
Artibeus fimbriatus,0,0,0,1,0,1,0,0,0,0,0
Artibeus lituratus,0,0,0,1,0,1,0,0,0,0,0
Artibeus obscurus,0,0,0,0,0,1,0,0,0,0,0
Artibeus planirostris,0,0,0,1,0,1,0,0,0,0,0
Ateles belzebuth,1,0,0,0,0,1,0,0,0,0,0
Ateles chamek,1,0,0,0,0,1,0,0,0,0,0
Ateles marginatus,1,0,0,0,0,1,0,0,0,0,0
Ateles paniscus,1,0,0,0,0,1,0,0,0,0,0
Atelocynus microtis,0,0,0,0,0,0,0,0,0,1,0
Bassaricyon alleni,1,0,0,0,0,1,0,0,0,0,0
Bibimys labiosus,0,0,0,0,0,0,0,0,0,0,0
Blarinomys breviceps,0,0,0,0,0,0,1,0,0,0,0
Blastocerus dichotomus,1,1,0,0,0,0,0,1,0,0,1
Brachyteles arachnoides,1,1,0,1,0,1,0,0,0,0,0
Brachyteles hypoxanthus,1,0,0,1,0,1,0,0,0,0,0
Bradypus torquatus,1,0,0,0,0,0,0,0,0,0,0
Bradypus tridactylus,1,0,0,0,0,0,0,0,0,0,1
Bradypus variegatus,1,0,0,0,0,0,0,0,0,0,0
Brucepattersonius griserufescens,0,0,0,0,0,0,1,0,0,0,0
