order,family,species,synonyms,common_names,Phytogeographic_domains,countries,realm,redlistCategory,yearPublished_IUCN,habitats_categories,populationTrend,density_n_km2_Soria_et_al_2021,Endemic_BR,Restricted_Range,dispersal_km,home_range,adult_body_length_mm,Weight_min_g,Weight_max_g,Weight_mean_g,diet_invert,diet_vert_endoterm,diet_vert_ectoterm,diet_vfish,diet_scavenger,diet_fruit,diet_nect,diet_seed,diet_plant_other,diet_gumivore,foraging_stratum,Potential_to_provide_services,cultural_service_charismatic_species,Ref_cultural_service,ecotourism,Ref_ecotourism,carrion_control,carrion_control_low_potential,Ref_carrion_control,pollination,pollination_low_potential,Ref_pollination,top_down_regulation,top_down_regulation_low_potential,Ref_top_down_regulation,seed_dispersal,seed_dispersal_low_potential,Ref_seed_dispersal,pest_and_disease_control,pest_and_disease_control_low_potential,Ref_pest_and_disease_control,nutrient_transporting_horizontal,nutrient_transporting_horizontal,nutrient_transporting_vertical,Ref_nutrient_transporting_vertical,nutrient_transporting_horizontal_and_vertical,nutrient_transporting_horizontal_and_vertical_low_potential,ecosystem_engineering,ecosystem_engineering_low_potential,Ref_ecosystem_engineering,rodent_control,rodent_control_low_potential,Ref_rodent_control,disease_sentinelling,disease_sentinelling_low_potential,Ref_disease_sentinelling,Provide_at_least_one_service,Number_of_services_provided
PRIMATES,ATELIDAE,Brachyteles arachnoides,NA,Southern Muriqui,MA,Brazil,Neotropical,Critically Endangered,2021,Forest - Subtropical/Tropical Moist Montane,Decreasing,22,1,0,3.9,1,604,9400,12100,10750,0,0,0,0,0,20,10,20,50,0,arboreal,0,1,Expert knowledge,1,https://muriquiecoturismo.wixsite.com/muriqui,0,0,Expert knowledge,1,0,Expert knowledge,0,0,Expert knowledge,1,0,(Bello et al. 2017),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,4
CARNIVORA,MUSTELIDAE,Pteronura brasiliensis,"Pteronura sambachii, Mustela brasilinensis",Giant Otter,"Am, MA, Ce, Pt","Brazil, Colombia, Ecuador, Uruguay, Suriname, Venezuela, Bolivarian Republic of, Bolivia, Plurinational States of, Guyana, Argentina, Peru, Paraguay, French Guiana",Neotropical,Endangered,2015,"Wetlands (inland) - Shrub Dominated Wetlands, Wetlands (inland) - Freshwater Springs and Oases, Marine Coastal/Supratidal - Coastal Freshwater Lakes, Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha), Wetlands (inland) - Permanent Freshwater Lakes (over 8ha), Marine Neritic - Estuaries, Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands, Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level, Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha), Artificial/Aquatic & Marine, Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks, Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls), Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)",Decreasing,NA,0,0,31,86,1269,29000,29000,29000,40,0,0,60,0,0,0,0,0,0,semiaquatic,0,1,(Vidal et al. 2017),1,https://www.cienciaemacao.org/post/turismo-ecologico,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,4
CETARTIODACTYLA,BALAENIDAE,Eubalaena australis,NA,Southern Right Whale,Mar,"Antarctica, Mozambique, Argentina, South Africa, New Zealand, Madagascar, Uruguay, Brazil, Namibia, Peru, Bouvet Island, Chile, Australia, Falkland Islands (Malvinas), South Georgia and the South Sandwich Islands, French Southern Territories, Saint Helena, Ascension and Tristan da Cunha",Afrotropical|Antarctic|Australasian|Neotropical,Least Concern,2018,"Marine Neritic - Pelagic, Marine Oceanic - Epipelagic (0-200m)",Unknown,NA,0,0,NA,NA,NA,100000,100000,100000,100,0,0,0,0,0,0,0,0,0,marine,1,1,Expert knowledge,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,BALAENOPTERIDAE,Megaptera novaeangliae,Balaena novaeangliae,Humpback Whale,Mar,"Martinique, Seychelles, Mauritania, Korea, Democratic People's Republic of, Northern Mariana Islands, Korea, Republic of, Benin, Guatemala, Turks and Caicos Islands, Pitcairn, Kenya, Guam, Bermuda, Comoros, Saint Kitts and Nevis, Equatorial Guinea, Philippines, South Georgia and the South Sandwich Islands, Saint Helena, Ascension and Tristan da Cunha, Peru, Pakistan, Guadeloupe, Cabo Verde, Wallis and Futuna, Cuba, Saint Lucia, Greenland, French Polynesia, Côte d'Ivoire, Russian Federation, Gambia, Congo, Panama, Marshall Islands, Niue, Gabon, Iceland, Venezuela, Bolivarian Republic of, Virgin Islands, British, Grenada, Palau, New Zealand, Madagascar, Portugal, Virgin Islands, U.S., Samoa, Togo, Fiji, Japan, Ecuador, French Southern Territories, Bahamas, Falkland Islands (Malvinas), Anguilla, Vanuatu, Faroe Islands, Canada, Timor-Leste, United States, Barbados, Sao Tome and Principe, Mozambique, Brazil, Malaysia, El Salvador, Jamaica, Tonga, Saint Pierre and Miquelon, Mexico, Kiribati, Mauritius, Maldives, Oman, Djibouti, Angola, Morocco, France, Puerto Rico, Dominica, United Kingdom, Antigua and Barbuda, Norway, United Arab Emirates, Saint Vincent and the Grenadines, Nauru, India, Uruguay, Aruba, Tanzania, United Republic of, Dominican Republic, Nigeria, American Samoa, Trinidad and Tobago, Denmark, Argentina, Namibia, Taiwan, Province of China, Nicaragua, Solomon Islands, Iran, Islamic Republic of, Yemen, New Caledonia, Cook Islands, Chile, Western Sahara, Tuvalu, Australia, Spain, Congo, The Democratic Republic of the, Indonesia, Costa Rica, Ireland, Cocos (Keeling) Islands, Colombia, Réunion, South Africa, Cameroon, Honduras, Sri Lanka, Somalia, Papua New Guinea, Ghana, Senegal, Cayman Islands, Sint Maarten (Dutch part), Saint Martin (French part), Saint Barthélemy, Bonaire, Sint Eustatius and Saba, Curaçao, Montserrat, Antarctica, Bouvet Island, Heard Island and McDonald Islands, China, Belgium, Germany, Netherlands, Sweden, Svalbard and Jan Mayen, Belize, Christmas Island, Norfolk Island, Micronesia, Federated States of , Tokelau, French Guiana, Guyana, Suriname, British Indian Ocean Territory, Brunei Darussalam, Singapore, Guinea, Guinea-Bissau, Liberia, Mayotte, Sierra Leone, Bahrain, Iraq, Qatar, Kuwait, Saudi Arabia, Jordan, Israel, Egypt, United States Minor Outlying Islands, Viet Nam",Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Least Concern,2018,"Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Pelagic",Increasing,NA,0,0,NA,NA,NA,NA,NA,NA,80,0,0,20,0,0,0,0,0,0,marine,1,1,Expert knowledge,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,3
CETARTIODACTYLA,DELPHINIDAE,Sotalia guianensis,Delphinus guianensis,Guiana Dolphin,Mar,"Venezuela, Bolivarian Republic of, Suriname, Aruba, Costa Rica, Honduras, Bonaire, Sint Eustatius and Saba, Nicaragua, Panama, Curaçao, Brazil, Trinidad and Tobago, Colombia, French Guiana, Guyana",Neotropical,Near Threatened,2018,"Marine Neritic - Estuaries, Marine Neritic - Pelagic, Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls), Marine Coastal/Supratidal - Coastal Freshwater Lakes, Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes",Unknown,NA,0,0,NA,NA,NA,90000,90000,90000,10,0,0,0,0,0,0,0,0,0,marine,1,1,Expert knowledge,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,4
CETARTIODACTYLA,DELPHINIDAE,Stenella longirostris,Delphinus longirostris,Spinner Dolphin,Mar,"Taiwan, Province of China, Korea, Republic of, Korea, Democratic People's Republic of, Japan, Hong Kong, Yemen, United Arab Emirates, Saudi Arabia, Pakistan, Oman, Kuwait, Jordan, Israel, Iraq, Iran, Islamic Republic of, Bahrain, Togo, Tanzania, United Republic of, Sudan, South Africa, Somalia, Sierra Leone, Seychelles, Senegal, Sao Tome and Principe, Saint Helena, Ascension and Tristan da Cunha, Réunion, Nigeria, Namibia, Mozambique, Mauritius, Mauritania, Madagascar, Liberia, Kenya, Guinea-Bissau, Guinea, Ghana, Gambia, Gabon, Eritrea, Equatorial Guinea, Djibouti, Côte d'Ivoire, Congo, The Democratic Republic of the, Congo, Comoros, Cabo Verde, Cameroon, Benin, Angola, Viet Nam, Timor-Leste, Thailand, New Zealand, New Caledonia, Nauru, Micronesia, Federated States of , Marshall Islands, Puerto Rico, Kiribati, Guam, French Polynesia, Fiji, Cook Islands, Cocos (Keeling) Islands, Australia, American Samoa, Montserrat, Martinique, Jamaica, Haiti, Guadeloupe, Grenada, Dominican Republic, Bermuda, Mexico, Barbados, Honduras, Guatemala, El Salvador, Costa Rica, Belize, Bahamas, Aruba, Antigua and Barbuda, Anguilla, Bonaire, Sint Eustatius and Saba, Nicaragua, Panama, Egypt, Morocco, Western Sahara, Cayman Islands, Cuba, United States, Curaçao, Dominica, Niue, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, United States Minor Outlying Islands, Vanuatu, Wallis and Futuna, Argentina, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Brazil, Saint Vincent and the Grenadines, Sint Maarten (Dutch part), Trinidad and Tobago, Turks and Caicos Islands, Virgin Islands, British, Colombia, Ecuador, French Guiana, Guyana, Virgin Islands, U.S., Peru, Suriname, Uruguay, Venezuela, Bolivarian Republic of, Bangladesh, British Indian Ocean Territory, Brunei Darussalam, Cambodia, India, China, Indonesia, Malaysia, Maldives, Myanmar, Philippines, Singapore, Sri Lanka",Afrotropical|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Least Concern,2018,"Marine Oceanic - Bathypelagic (1000-4000m), Marine Oceanic - Mesopelagic (200-1000m), Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Coral Reef, Marine Neritic - Pelagic",Unknown,NA,0,0,NA,NA,2520,100000,100000,100000,60,0,0,40,0,0,0,0,0,0,marine,1,1,Expert knowledge,1,"https://golfinhorotador.org.br/os-gofinhos/rotadores-de-noronha/
 https://blog.bonitour.com.br/os-golfinhos-de-fernando-de-noronha/",0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,4
SIRENIA,TRICHECHIDAE,Trichechus manatus,NA,American Manatee,"MA, Mar","Panama, Trinidad and Tobago, Anguilla, Colombia, Costa Rica, Curaçao, Guadeloupe, Puerto Rico, Antigua and Barbuda, Nicaragua, Guatemala, Saint Lucia, Montserrat, Suriname, Martinique, Guyana, Dominica, Venezuela, Bolivarian Republic of, Virgin Islands, British, Haiti, Belize, Virgin Islands, U.S., Jamaica, Brazil, Honduras, Bahamas, French Guiana, Grenada, Saint Vincent and the Grenadines, Dominican Republic, Saint Martin (French part), Barbados, Turks and Caicos Islands, Saint Barthélemy, United States, Mexico, Cuba, Aruba, Saint Kitts and Nevis, Cayman Islands, Bonaire, Sint Eustatius and Saba, Sint Maarten (Dutch part)",Nearctic|Neotropical,Vulnerable,2008,"Marine Neritic - Subtidal Sandy-Mud, Marine Neritic - Subtidal Muddy, Marine Intertidal - Mud Flats and Salt Flats, Artificial/Aquatic - Canals and Drainage Channels, Ditches, Wetlands (inland) - Freshwater Springs and Oases, Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha), Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes, Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha), Marine Intertidal - Mangrove Submerged Roots, Marine Neritic - Pelagic, Marine Neritic - Coral Reef, Marine Neritic - Seagrass (Submerged), Artificial/Aquatic - Water Storage Areas (over 8ha), Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls), Marine Intertidal - Salt Marshes (Emergent Grasses), Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks, Marine Coastal/Supratidal - Coastal Freshwater Lakes, Marine Neritic - Estuaries, Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc, Wetlands (inland) - Permanent Freshwater Lakes (over 8ha), Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)",Decreasing,NA,0,0,NA,NA,3997,700000,700000,700000,0,0,0,0,0,0,0,0,100,0,marine,1,1,Expert knowledge,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Colares and Colares 2002),0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,1,5
CETARTIODACTYLA,DELPHINIDAE,Tursiops truncatus,"Tursiops nuuanu, Delphinus truncatus, Tursiops gephyreus, Tursiops truncatus","Common Bottlenose Dolphin, Lahille's Bottlenose Dolphin",Mar,"Brazil, Argentina, Uruguay, Taiwan, Province of China, Macao, Korea, Republic of, Korea, Democratic People's Republic of, Japan, Hong Kong, Yemen, United Arab Emirates, Turkey, Syrian Arab Republic, Saudi Arabia, Qatar, Pakistan, Oman, Lebanon, Kuwait, Jordan, Israel, Iraq, Iran, Islamic Republic of, Georgia, Cyprus, Bahrain, Togo, Tanzania, United Republic of, Sudan, South Africa, Somalia, Sierra Leone, Seychelles, Senegal, Sao Tome and Principe, Saint Helena, Ascension and Tristan da Cunha, Réunion, Nigeria, Namibia, Mozambique, Mayotte, Mauritius, Mauritania, Madagascar, Liberia, Kenya, Guinea-Bissau, Guinea, Ghana, Gambia, Gabon, Eritrea, Equatorial Guinea, Djibouti, Côte d'Ivoire, Congo, The Democratic Republic of the, Congo, Comoros, Cabo Verde, Cameroon, Benin, Angola, Viet Nam, Timor-Leste, Thailand, Sri Lanka, Singapore, Philippines, Myanmar, Maldives, Malaysia, Indonesia, China, India, Cambodia, Brunei Darussalam, British Indian Ocean Territory, Bangladesh, Venezuela, Bolivarian Republic of, Uruguay, Suriname, Peru, Virgin Islands, U.S., Guyana, French Guiana, Falkland Islands (Malvinas), Ecuador, Colombia, Virgin Islands, British, Turks and Caicos Islands, Chile, Trinidad and Tobago, Sint Maarten (Dutch part), Saint Vincent and the Grenadines, Brazil, Saint Martin (French part), Saint Lucia, Saint Kitts and Nevis, Morocco, Libya, Egypt, Algeria, Panama, Nicaragua, Bonaire, Sint Eustatius and Saba, Bermuda, Mexico, Barbados, Honduras, Guatemala, El Salvador, Costa Rica, Belize, Bahamas, United Kingdom, Spain, Aruba, Slovenia, Romania, Antigua and Barbuda, Gibraltar, Germany, France, Faroe Islands, Denmark, Croatia, Bulgaria, Bosnia and Herzegovina, Belgium, Albania, Norway, Greece, Guernsey, Ireland, Isle of Man, Italy, Jersey, Anguilla, Malta, Monaco, Montenegro, Netherlands, Portugal, Tunisia, Western Sahara, Cayman Islands, Canada, Cuba, Saint Pierre and Miquelon, United States, Curaçao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Russian Federation, Jamaica, Martinique, Montserrat, Ukraine, American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Kiribati, Puerto Rico, Marshall Islands, Micronesia, Federated States of , Nauru, New Caledonia, New Zealand, Niue, Norfolk Island, Northern Mariana Islands, Palau, Papua New Guinea, Pitcairn, Samoa, Solomon Islands, Tokelau, Tonga, Tuvalu, Vanuatu, Wallis and Futuna, Argentina",Afrotropical|Australasian|Indomalayan|Neotropical|Oceanian,"Vulnerable, Least Concern","2019, 2019","Marine Neritic - Estuaries, Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes, Marine Oceanic - Epipelagic (0-200m), Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls), Marine Oceanic - Epipelagic (0-200m), Marine Neritic - Estuaries, Marine Neritic - Pelagic, Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls), Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes","Decreasing, Unknown",0,0,0,NA,53,3629,280000,280000,280000,20,0,0,80,0,0,0,0,0,0,marine,1,1,Expert knowledge,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,4
ARTIODACTYL,CERVIDAE,Blastocerus dichotomus,Cervus dichotomus,Marsh Deer,"Ce, Pt","Argentina, Bolivia, Plurinational States of, Brazil, Peru, Paraguay, Uruguay",Neotropical,Vulnerable,2016,"Shrubland - Subtropical/Tropical Moist, Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha), Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands, Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha), Shrubland - Subtropical/Tropical Dry, Savanna - Moist, Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)",Decreasing,0,0,0,14,NA,1835,100000,100000,100000,0,0,0,0,0,0,0,0,100,0,ground_level,1,1,Expert knowledge,1,https://www.cienciaemacao.org/post/turismo-ecologico,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,Expert knowledge,0,Expert knowledge,1,1,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Winck et al. 2022),1,4
CARNIVORA,CANIDAE,Chrysocyon brachyurus,Canis brachyurus,Maned Wolf,"Ce, Pt, Pp","Uruguay, Peru, Paraguay, Brazil, Bolivia, Plurinational States of, Argentina",Neotropical,Near Threatened,2015,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands, Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Grassland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist, Shrubland - Subtropical/Tropical Dry, Savanna - Moist, Savanna - Dry, Artificial/Terrestrial - Pastureland, Artificial/Terrestrial - Arable Land",Unknown,NA,0,0,5.8,21,1283,20000,23000,21500,7,70,70,0,0,8,0,0,8,0,ground_level,1,1,Expert knowledge,1,(Frederico & Bruhns 2012),0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,1,5
