"Servico","Total_Deviance","Isolation_Alone","FWD_Alone","Temperature_Alone","Precipitation_Alone","Joint_Geography_Climate","Joint_Climate_Itself","Joint_Effect","N","AIC"
"nutrient_transporting_horizontal_and_vertical",92.7,3.2,7.3,0.7,2.8,13,4.9,78.7,37500,168002.2
"cultural_service_charismatic_species",92,3.5,1.8,2,4.5,8.7,8.6,80.2,37500,274150.6
"ecosystem_engineering",91.1,2.1,0.1,1.9,4.8,2.2,6.8,82.2,37500,99754
"disease_sentinelling",90.9,3.3,0.7,0.8,2.2,5.3,4.3,84,37500,225454
"ecotourism",90,3,2.3,0.8,3.1,6.7,4.8,80.8,37500,122563.4
"seed_dispersal",88.3,3.7,0.3,1.4,7.1,5.8,11.5,75.9,37500,469986.2
"pest_and_disease_control",88.3,3.3,0.2,1.1,4,4.4,6.8,79.8,37500,308529.1
"carrion_control",86.6,4,0.6,0.1,1.1,6.4,1.4,80.8,37500,138675.4
"rodent_control",85.1,3.7,4,1.5,4.8,12.2,5.5,71.1,37500,154953.5
"pollination",81,5.3,1,2.1,6.7,6.5,10.9,65.9,37500,239532.2
"top_down_regulation",76.5,0.9,14.6,0.5,5.3,16.7,5.3,55.3,37500,93817.5
