es_SA,Deviance_Null,Deviance_2,Deviance_3,Deviance_4,Deviance_5,Deviance_6,Deviance_7,Deviance_Original,AIC_Null,AIC_2,AIC_3,AIC_4,AIC_5,AIC_6,AIC_7,AIC_Original
cultural_service_charismatic_species,-6.661338147750939e-16,0.9246603231883666,0.9069533707699201,0.8996648846466596,0.9044204453152873,0.8740252502187976,0.84081225703112,0.4857343779991463,13644.405190860798,2712.471697859838,2919.6210503335674,3001.444031584109,2941.2569700172744,3298.456347758262,3683.6878759217584,7892.259354398808
ecotourism,0,0.882350981017846,0.8818229963370274,0.8746659946474262,0.8987210222972103,0.8445225458584283,0.8579991953696778,0.38285703702705287,2188.2095160309264,1247.4793000359562,1249.1328627851512,1250.7108202516217,1228.5401957558558,1285.845743159365,1265.719324970008,1782.8915467976617
carrion_control,-4.440892098500626e-16,0.8820724923006127,0.8506554788639278,0.8664375838130778,0.8854062310962907,0.8274587853761597,0.8638834473225805,0.40888768639959117,2968.6493123908226,1377.1793806117375,1437.9931822031938,1391.0309459506152,1367.111188293025,1471.6512244280443,1393.7183401129696,2228.9824920473725
pollination,-8.881784197001252e-16,0.8165227370492618,0.7970712440435174,0.755811332414142,0.8066101328367955,0.7633366193718878,0.7136557969477889,0.24664941967095633,7126.701302793245,2375.4822203800263,2494.418530605024,2735.5546121662474,2429.103292826509,2672.9583436168887,2969.4304314791793,5693.279596396747
top_down_regulation,0,0.7025088599590386,0.7533008900549969,0.7125177562677403,0.7553136316684326,0.6765964457129987,0.7119864918505616,0.2864015782309385,1047.7670618925301,949.7834186557301,938.283527156817,941.9530119154273,937.7906527400526,951.0928975293771,940.0394289477307,1008.520932518174
seed_dispersal,-1.5543122344752192e-15,0.8902790670048322,0.8663118074702949,0.8304215642547738,0.8751231820499842,0.8468709860271905,0.778317876961958,0.3543395352806843,26575.691491446643,4552.3774768847825,5149.9699125268035,6037.628088593471,4929.7926135490525,5616.203197538459,7316.01819320343,17808.961536778737
pest_and_disease_control,-6.661338147750939e-16,0.8892819464258641,0.861402741425853,0.8520796967878211,0.8784401268651357,0.8521476860919556,0.8221686105245596,0.32731543688061937,13557.36499482489,3036.507700741793,3365.1631624257566,3473.371405787121,3158.6717017652823,3465.3222383028647,3814.519298445177,9684.423487438647
nutrient_transporting_horizontal_and_vertical,-4.440892098500626e-16,0.9275253858684471,0.9112793937344282,0.9049833371043051,0.9259850599832568,0.8949104025818628,0.8804938097349795,0.4085272781604814,5160.655835064208,1698.9190879557316,1757.5437593852619,1775.428163263215,1696.3593438129424,1816.6040723644321,1858.9915698623806,3634.637727522341
ecosystem_engineering,-1.3322676295501878e-15,0.9159063012542605,0.9087922107397658,0.8685129858185658,0.9165177295916127,0.9018388168492147,0.8529105813475386,0.33728136883597304,2717.9404728808945,998.5546407775968,1015.7468519091163,1077.7254436702428,999.7703022757565,1020.8762065900472,1100.3134197415677,2088.0944813947144
rodent_control,1.1102230246251565e-16,0.8340748705418553,0.830957151431186,0.8064195628857915,0.8497636454269965,0.7674527946065912,0.7985894919656769,0.34963883357371606,2796.1363230871493,1582.6160438769307,1597.6189079601081,1612.6876979225713,1557.2446738685135,1680.9828467271268,1621.672227205236,2288.5463859226074
disease_sentinelling,-4.440892098500626e-16,0.9111664665367971,0.8909128918821021,0.8906044981904098,0.9079328049429001,0.8704983235280878,0.8686409330599365,0.3689140481433302,8927.534761795097,2257.3026863990044,2411.2087877367308,2392.871452631583,2277.276520136773,2551.723843159883,2555.540773560443,6227.684829220325
total,-8.881784197001252e-16,0.9145664981622188,0.8881851394702329,0.8805546830013651,0.9037614241763363,0.8697774467631659,0.8449940375011297,0.3823204794359475,70218.77595021152,8240.243088249177,10028.570890007628,10545.155574180075,8971.084909891184,11261.319995975948,12941.783423175948,44305.373021231644
