es_SA,Deviance_Explained,R_sq,AIC,BIC,GCV,n,Null_Deviance,Residual_Deviance,Dispersion_Ratio,Overdispersion_Warning,Quality
cultural_service_charismatic_species,93.68,0.921,2580,2706.3,1.1745,375,11877.869670066564,751.0931844217936,2.27,Yes - consider Negative Binomial,Excellent
nutrient_transporting_horizontal_and_vertical,93.39,0.932,1668.6,1737.7,-0.2412,375,3774.6092968552134,249.33793226627532,0.75,No,Excellent
total,92.16,0.926,7781.2,7920.6,13.3737,375,67825.77146484079,5319.118148132203,15.87,Yes - consider Negative Binomial,Excellent
disease_sentinelling,92,0.943,2205.8,2313.7,0.7171,375,7363.69724185427,588.9174134063708,1.57,Yes - consider Negative Binomial,Excellent
ecosystem_engineering,91.96,0.932,995.7,1066.9,-0.4938,375,1910.0693527580115,153.53652793954947,0.48,No,Excellent
ecotourism,90.35,0.911,1224.6,1274.8,-0.6504,375,1092.7269425901968,105.48309941828158,0.29,No,Excellent
seed_dispersal,90,0.912,4329.7,4463,5.7906,375,24790.413217262845,2478.598269412271,7.35,Yes - consider Negative Binomial,Excellent
pest_and_disease_control,89.29,0.918,3000.9,3113.6,2.5459,375,11884.198903889834,1272.314054023589,3.74,Yes - consider Negative Binomial,Excellent
carrion_control,89.11,0.906,1366.4,1454.7,-0.3438,375,1846.3539230488973,201.09342589347042,0.54,No,Excellent
rodent_control,86.34,0.895,1547.8,1627.4,-0.3491,375,1490.4715941380837,203.53197619179215,0.53,No,Excellent
pollination,84.45,0.873,2228.9,2351.5,1.6009,375,5871.14425239041,912.916047117157,2.4,Yes - consider Negative Binomial,Excellent
top_down_regulation,76.26,0.796,938.9,969.4,-0.857,375,160.50041419826326,38.09515222681892,0.09,No,Excellent
