es_SA,Total_Deviance,Isolation_Alone,FWD_Alone,Temperature_Alone,Precipitation_Alone,Joint_Effect,Unexplained
cultural_service_charismatic_species,0.9367653286923475,0.029811957922427412,0.012105005503981081,0.03234488337706021,0.0371004440456878,0.825403037843191,0.06323467130765248
ecotourism,0.9034680162930323,0.021645019956004874,0.02111703527518627,0.004746993995822013,0.02880202164560608,0.8271569454204131,0.0965319837069677
carrion_control,0.8910861978393594,0.04043071897543149,0.009013705538746697,0.005679966743068698,0.0246486140262816,0.8113131925558309,0.10891380216064062
pollination,0.844507985518246,0.04743674147472843,0.02798524846898398,0.037897852681450406,0.0886966531041038,0.6424914897889794,0.15549201448175398
top_down_regulation,0.7626476391533752,0.009346749098378182,0.06013877919433663,0.007334007484942617,0.0501298828856348,0.635698220490083,0.2373523608466248
seed_dispersal,0.9000178719213001,0.03370606445100499,0.009738804916467836,0.02489468987131571,0.06959630766652602,0.7620820050159856,0.09998212807869988
pest_and_disease_control,0.892940696776192,0.031537955350338875,0.0036587503503279217,0.014500569911056194,0.04086099998837067,0.8023824211760984,0.10705930322380797
nutrient_transporting_horizontal_and_vertical,0.9339433799217288,0.02266398618730059,0.006417994053281695,0.007958319938471958,0.028960042817423592,0.867943036925251,0.06605662007827118
ecosystem_engineering,0.9196173020011799,0.010825091261413955,0.003711000746919213,0.003099572409567153,0.05110431618261391,0.8508773214006656,0.08038269799882014
rodent_control,0.8634445788888103,0.03248742745762434,0.02936970834695507,0.013680933461813982,0.0570250160030189,0.730881493619398,0.13655542111118968
disease_sentinelling,0.9200242223350734,0.029111330452971207,0.008857755798276301,0.012091417392173343,0.02941972414466365,0.8405439945469889,0.07997577766492658
total,0.9215767394420349,0.033391599971801855,0.007010241279816087,0.017815315265698572,0.041022056440669696,0.8223375264840487,0.07842326055796511
